source_id,ra,dec,l,b,parallax,pmra,pmdec,parallax_error,pmra_error,pmdec_error,ruwe,bp_g,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,pm,Simbad,main_id,main_type,sp_type,radvel,vtan,plx,gal_cord,gal_Y,gal_X,plx_err,pmra,pm,pmdec,B,V,gal_Z
184497471323752064,80.64680481184236,37.6759929364201,170.05338802722687,0.7103172589013076,0.7213697567669315,1.3049449567151956,-3.9994793622028038,0.030094078,0.040826127,0.028048873,1.0481436,0.14469624,0.45519114,,,4.206984,Simbad,HD  34921,HMXB,B0IVpe,-20.5,27.697659088101197,0.7214,"(-0.1425133756079747, -0.7682485101013496, 1.1449963416517097)",(-0.7682485101013496),(-0.1425133756079747),0.0301,1.305,4.206545660955682,-3.999,7.64,7.48,1.1449963416517097
253219387600747776,70.75821694751919,45.63039494867229,159.25782833173437,-0.2734643884802323,0.8225879220379495,0.1346812835929539,-1.7434484925582632,0.028440645,0.029448207,0.026007878,1.2965086,0.2746992,0.7394304,,,1.7486428,Simbad,BD+45   973,Star,B3V,-20.0,10.094877579776481,0.8226,"(-0.31085389415183184, -0.7575778496397476, 0.8984816796185963)",(-0.7575778496397476),(-0.31085389415183184),0.0284,0.135,1.748220288076969,-1.743,9.04,8.63,0.8984816796185963
193069745009196544,87.11331403872344,43.082630040739886,168.12305412310627,7.762143429933521,0.5210426486786671,-1.389443613219766,-2.1063285830011638,0.025828596,0.021035587,0.016432071,0.8664262,0.07248402,0.26052475,,,2.523326,Simbad,V* IY Aur,EB*,B3III,-18.641,23.000642221541046,0.521,"(-0.3651704986093883, -0.9000472144356328, 1.655477838913979)",(-0.9000472144356328),(-0.3651704986093883),0.0258,-1.389,2.5228074175876665,-2.106,9.58,9.39,1.655477838913979
977835346015315712,106.28745803119256,47.77503865177456,169.24736599958078,21.92698401571102,2.383200936676116,0.7074341062413402,-0.6912296993007339,0.029861003,0.032540698,0.029115207,0.91744703,-0.018869877,-0.008218288,,,0.989071,Simbad,HD  52860,Star,B9V,-16.5,1.970397012482598,2.3832,"(-0.11825787222172233, -0.1042145219674882, 0.3888725417558236)",(-0.1042145219674882),(-0.11825787222172233),0.0299,0.707,0.9886000047572971,-0.691,6.306,6.359,0.3888725417558236
198874681070146560,75.4533946034322,38.33469273096381,167.10928226897443,-2.206945429019563,0.9918226850815867,-0.12041992407143898,-2.5823121005750074,0.019990884,0.02556818,0.01761334,0.9917582,0.15369606,0.453907,,,2.5851183,Simbad,HD  31992,EB*,B5,-15.0,12.379248304327488,0.9918,"(-0.12364147334762501, -0.6142661596337828, 0.7899327487899055)",(-0.6142661596337828),(-0.12364147334762501),0.02,-0.12,2.5847870725376327,-2.582,9.38,9.1,0.7899327487899055
3449518346885542272,84.09440901570919,34.133822399407855,174.54835216602663,1.082216071401408,0.841636899602909,-0.1485019582854593,-3.422821317610058,0.028431527,0.03901825,0.026196284,1.080982,-0.0024442673,0.04435444,,,3.4260411,Simbad,BD+34  1107,Star,B2,-15.0,19.337745433111042,0.8416,"(-0.04454294676069813, -0.617790100089102, 1.014002537593701)",(-0.617790100089102),(-0.04454294676069813),0.0284,-0.149,3.426241383811363,-3.423,9.13,9.13,1.014002537593701
775029739076581248,162.0979663421485,37.57031039846401,183.14027402411202,62.15202221295605,0.7836898562311427,0.38937030761485847,2.1313777009050026,0.08061773,0.071640424,0.08356477,1.1129957,-0.14210558,-0.37302923,,,2.1666517,Simbad,HD  93521,Star,O9.5IIInn,-14.1,13.129405939937605,0.7837,"(-0.4846955587192455, 0.5632154498350681, 1.0373189846669666)",(0.5632154498350681),(-0.4846955587192455),0.0806,0.389,2.1662137462930353,2.131,6.79,7.03,1.0373189846669666
1012746180227105536,136.5939008246837,49.6113854636446,169.29638691291663,41.87948993589098,0.9415344440328314,2.3044362259483235,-1.3579603752130844,0.050739355,0.042178974,0.038516503,1.1254992,-0.106640816,-0.27629852,,,2.6747866,Simbad,HD  77770,Star,B2IV,-14.0,13.49287889894862,0.9415,"(-0.4287070963555255, 0.08035949489659411, 0.9684436184288954)",(0.08035949489659411),(-0.4287070963555255),0.0507,2.304,2.674430651102427,-1.358,7.301,7.485,0.9684436184288954
1671376219613009408,208.81439024367603,66.11682961939297,113.0106276167021,49.764040546844164,0.2928247652454954,1.0002826701522785,-3.6943289184883636,0.033005904,0.04023621,0.03651498,1.0162207,-0.09220886,-0.20745373,,,3.827353,Simbad,HD 121800,Star,B5V,-12.0,62.083563341959525,0.2928,"(-2.9876829234588813, 0.6181972967965705, 1.5348809280825366)",(0.6181972967965705),(-2.9876829234588813),0.033,1.0,3.8269616675449467,-3.694,8.92,9.01,1.5348809280825366
205809202125760640,76.35568977353742,45.05817134148983,162.1825802664198,2.418871464920196,1.4336131683935645,-0.19230317605756433,-1.3948160333839454,0.028259246,0.030290639,0.025323495,0.94488615,0.08155918,0.28404808,,,1.40801,Simbad,HD  32446,Star,B5III,-10.0,4.665678696616206,1.4336,"(-0.16409282695117275, -0.40070779317138194, 0.5468778736503078)",(-0.40070779317138194),(-0.16409282695117275),0.0283,-0.192,1.408150892836581,-1.395,8.42,8.28,0.5468778736503078
