source_id,ra,dec,l,b,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax_error,pmra_error,pmdec_error,ruwe,bp_g,bp_rp,pm,radial_velocity,radial_velocity_error,teff_gspphot,RAJ2000,DEJ2000,Simbad,main_id,main_type,other_types,radvel,radvel_err,sp_type,V,vtan,gal_cord,gal_X,gal_Y,gal_Z
3444230245708929920,85.33748042653758,29.48729728562911,179.04181548956916,-0.5037682548821788,6.3658518214016055,15.145272553067203,-26.655880898971212,6.3910403,6.3334064,6.4618855,0.067476965,0.068416476,0.04105059,1.1088759,-0.057633877,-0.128479,30.658037,,,9999.385,05 41 21.0,+29 29 15,Simbad,HD  37646,EB*,*|**|IR|UV,50.167,0.179,B8IV,6.392,22.876070747098268,"(-0.15706013058189375, 0.0026268359873921026, -0.0013811665236035204)",-0.15706013058189375,0.0026268359873921026,-0.0013811665236035204
3425400245792540288,91.89118056474207,23.73906923638252,186.96320332857903,1.6365701530311743,0.6915292147195372,-0.3326358221221882,-1.1406801211402429,8.886328,8.917415,8.764879,0.042928617,0.037362806,0.028807262,1.391312,0.031086922,0.15253544,1.1881909,28.624704,9.411258,20990.645,06 07 33.9,+23 44 21,Simbad,HD 251847,Star,*|IR|UV,55.104,0.616,B1IV,9.01,8.161487368598905,"(-1.4348190816581723, -0.17523833843951508, 0.04129927284562226)",-1.4348190816581723,-0.17523833843951508,0.04129927284562226
3375208330259289856,92.45890142857803,20.618118678190232,189.94852867568318,0.5839366265031056,0.5704188061048854,0.43010308894418364,-2.1941223606007965,10.040719,10.122178,9.843263,0.023154262,0.025438322,0.018112924,1.0077214,0.081459045,0.2789154,2.2358806,,,18214.889,06 09 50.2,+20 37 05,Simbad,HD 252535,YSO_Candidate,*|**|IR|UV|Y*?,63.321,3.252,B1.5V,10.26,18.618658430680405,"(-1.7266474872843673, -0.30285544120441177, 0.01786659243182101)",-1.7266474872843673,-0.30285544120441177,0.01786659243182101
182433791079705856,82.03995188130882,33.31311325334408,174.3016837916013,-0.797232628023201,0.30382627935472084,0.5909992168298869,-2.3214699619766463,10.454864,10.694701,10.042678,0.016819075,0.018275464,0.013021183,0.8709907,0.23983765,0.6520233,2.3955173,,,17152.93,05 28 09.6,+33 18 47,Simbad,HD 243827,Star,*|IR,71.0,10.0,B0.2III,10.7,37.45136014261706,"(-3.2747732223472275, 0.32676862551807656, -0.045795529300074606)",-3.2747732223472275,0.32676862551807656,-0.045795529300074606
258079813112067584,66.89871480018131,48.29753193695061,155.51285631701444,-0.41502291679161035,1.1461222061854806,-1.3536939619240167,-2.336338600718505,8.501411,8.827634,7.9822598,0.021408884,0.021047458,0.014433589,0.95849156,0.32622242,0.8453741,2.7001789,,,6190.8794,04 27 35.7,+48 17 52,Simbad,HD  28004,Star,*|IR,78.03,9.05,G5,8.72,11.19064749244554,"(-0.7940081952208855, 0.36163523793337043, -0.006319965696103748)",-0.7940081952208855,0.36163523793337043,-0.006319965696103748
469648081051557376,60.09700280757192,56.90159004703163,146.60144139179874,2.9816298077099326,0.6397186237418145,-0.4687359505639741,-2.0872303317996357,9.0841,9.228027,8.796411,0.015393411,0.017274244,0.014516197,0.88457435,0.14392757,0.43161678,2.1392157,,,22800.281,04 00 23.3,+56 54 05,Simbad,HD 237204,PN?_Candidate,*|IR|PN|PN?,93.607,0.323,B2III:,9.341,15.883974977178298,"(-1.3032785003635583, 0.8593067947682325, 0.08131039286229821)",-1.3032785003635583,0.8593067947682325,0.08131039286229821
470645784773774720,65.38795619612974,57.745126230286296,148.1177798071578,5.546788618847437,1.0933129866709879,0.9874198949848716,1.6634637217093813,8.696089,8.932325,8.28451,0.02107016,0.022564527,0.018730225,1.1919852,0.23623657,0.6478157,1.9344532,,,,04 21 33.2,+57 44 43,Simbad,HD 237249,PulsV*,*|IR,102.69,8.04,A5,8.79,8.40441213510349,"(-0.7730262469218191, 0.4808337033284707, 0.08840887976837185)",-0.7730262469218191,0.4808337033284707,0.08840887976837185
468616395547368064,61.10232638144973,56.00540820466229,147.6112865948164,2.674340718923057,0.2203788604237836,0.2768751808661628,0.27918340078042925,8.445055,8.902105,7.796984,0.018627092,0.019558981,0.018392894,0.9606759,0.45705032,1.1051211,0.3931962,,,,04 04 24.5,+56 00 19,Simbad,HD 237213,BlueSG*,*|IR|s*b,116.04,1.74,B6Ia,8.74,8.474868798157328,"(-3.827562053894224, 2.4279872283712294, 0.21172223202250243)",-3.827562053894224,2.4279872283712294,0.21172223202250243
3431199177497199488,89.77349889515348,27.56183398195885,182.69411311442462,1.8538288196078423,0.5062802281599883,-0.08770282276003957,-2.387988558717349,7.169139,7.3270154,6.8440557,0.022044895,0.025543088,0.017064981,0.87120223,0.15787649,0.48295975,2.3895986,14.136332,0.2975623,,05 59 05.6,+27 33 42,Simbad,HD  40297,Star,*|IR,121.57,1.16,A0Ib,7.27,22.419586538729547,"(-1.9719748901967726, -0.09279291389363999, 0.06389696818358988)",-1.9719748901967726,-0.09279291389363999,0.06389696818358988
3375202836997950592,92.41488800902992,20.487614122989992,190.04284270672352,0.4847625446324998,0.5777309785817734,0.2505266767522468,-2.4847998848841706,7.493735,7.5103393,7.3887196,0.03734437,0.040283095,0.02808093,1.0065774,0.016604424,0.1216197,2.4973974,,,20870.203,06 09 39.6,+20 29 15,Simbad,HD  42088,Star,*|IR|UV|X,125.514,0.405,O6V((f))z,7.57,20.533151584454874,"(-1.704326799692099, -0.30183299905215805, 0.014644535029463432)",-1.704326799692099,-0.30183299905215805,0.014644535029463432
