_RAJ2000,_DEJ2000,ALS,Name,mag,n_mag,RAJ2000,DEJ2000,GLON,GLAT,Simbad
272.403333,-21.481111,4705,LS  4705,11.4,V,18 09 36.8,-21 28 52,9.17,-0.96,Simbad
272.410833,-22.331111,4704,LS  4704,9.8,V,18 09 38.6,-22 19 52,8.43,-1.37,Simbad
272.443333,-23.680556,17181,CD -23 13997,9.2,P,18 09 46.4,-23 40 50,7.26,-2.05,Simbad
272.444583,-14.193889,9382,LS  IV -14   5,9.1,V,18 09 46.7,-14 11 38,15.57,2.53,Simbad
272.445,-23.645833,4706,LS  4706,9.5,V,18 09 46.8,-23 38 45,7.29,-2.04,Simbad
272.459583,10.773611,9384,LS  IV +10   1,9.4,V,18 09 50.3,+10 46 25,37.99,14.07,Simbad
272.462083,-22.837778,4708,LS  4708,11.5,P,18 09 50.9,-22 50 16,8.01,-1.66,Simbad
272.465,-23.614444,4707,LS  4707,9.9,V,18 09 51.6,-23 36 52,7.33,-2.04,Simbad
272.482917,-22.320556,4711,LS  4711,11.2,V,18 09 55.9,-22 19 14,8.47,-1.43,Simbad
272.48625,-24.105556,4709,LS  4709,9.9,V,18 09 56.7,-24 06 20,6.91,-2.29,Simbad
272.49125,-34.868333,4702,LS  4702,9.2,V,18 09 57.9,-34 52 06,357.41,-7.43,Simbad
272.492917,-24.112778,4710,LS  4710,10.9,V,18 09 58.3,-24 06 46,6.9,-2.3,Simbad
272.503333,-21.193889,4713,LS  4713,11.8,V,18 10 00.8,-21 11 38,9.46,-0.9,Simbad
272.520833,-23.645833,17948,HD 166079,8.6,V,18 10 05.0,-23 38 45,7.32,-2.1,Simbad
272.520833,-23.645833,17949,HD 314030,9.7,V,18 10 05.0,-23 38 45,7.32,-2.1,Simbad
272.528333,-23.771944,4712,LS  4712,8.0,V,18 10 06.8,-23 46 19,7.22,-2.16,Simbad
272.554583,-25.345,4714,LS  4714,12.0,V,18 10 13.1,-25 20 42,5.85,-2.94,Simbad
272.55875,-21.326944,4716,LS  4716,8.6,V,18 10 14.1,-21 19 37,9.37,-1.01,Simbad
272.565,-22.882222,4715,LS  4715,11.3,V,18 10 15.6,-22 52 56,8.01,-1.76,Simbad
272.57625,-18.195,4719,LS  4719,9.1,V,18 10 18.3,-18 11 42,12.12,0.49,Simbad
272.605833,-19.338056,4721,LS  4721,10.9,V,18 10 25.4,-19 20 17,11.14,-0.09,Simbad
272.610417,30.958333,18996,LSE 201,13.3,P,18 10 26.5,+30 57 30,57.64,21.74,Simbad
272.6125,-24.9125,4717,LS  4717,10.8,V,18 10 27.0,-24 54 45,6.25,-2.78,Simbad
272.624167,-24.453889,14520,Hbg 1570,10.2,V,18 10 29.8,-24 27 14,6.66,-2.57,Simbad
272.6325,-22.248611,4720,LS  4720,10.1,V,18 10 31.8,-22 14 55,8.6,-1.51,Simbad
272.634167,-16.7475,19763,BD -16 4736B,9.6,P,18 10 32.2,-16 44 51,13.42,1.14,Simbad
272.63625,-23.918889,4718,LS  4718,8.5,V,18 10 32.7,-23 55 08,7.14,-2.32,Simbad
272.63875,-16.741111,19764,BD -16 4736C,8.8,P,18 10 33.3,-16 44 28,13.43,1.14,Simbad
272.639167,-16.745,4723,LS  4723,9.1,P,18 10 33.4,-16 44 42,13.42,1.14,Simbad
272.639583,-15.063056,9385,LS  IV -15   8,10.7,P,18 10 33.5,-15 03 47,14.9,1.95,Simbad
272.639583,-16.748333,4724,LS  4724,8.3,V,18 10 33.5,-16 44 54,13.42,1.14,Simbad
272.64375,-20.040556,4722,LS  4722,11.4,P,18 10 34.5,-20 02 26,10.54,-0.46,Simbad
272.6575,-16.824167,4726,LS  4726,7.9,V,18 10 37.8,-16 49 27,13.36,1.08,Simbad
272.659167,-19.166667,14613,Hilt 710,9.1,V,18 10 38.2,-19 10 00,11.31,-0.05,Simbad
272.675417,-9.870556,9386,LS  IV -09   3,10.7,V,18 10 42.1,-09 52 14,19.48,4.41,Simbad
272.67875,-16.713611,14614,Hilt 711,9.3,V,18 10 42.9,-16 42 49,13.47,1.12,Simbad
272.695833,-21.310278,4725,LS  4725,8.3,V,18 10 47.0,-21 18 37,9.45,-1.11,Simbad
272.71,-19.554444,4727,LS  4727,12.2,P,18 10 50.4,-19 33 16,10.99,-0.28,Simbad
272.720417,-15.540278,9387,LS  IV -15   9,11.4,P,18 10 52.9,-15 32 25,14.52,1.65,Simbad
272.730417,-33.8,16265,HD 166197,6.2,V,18 10 55.3,-33 48 00,358.45,-7.1,Simbad
272.730417,-15.957778,9388,LS  IV -15  10,11.4,P,18 10 55.3,-15 57 28,14.15,1.44,Simbad
272.736667,5.738333,9390,LS  IV +05   1,11.6,V,18 10 56.8,+05 44 18,33.47,11.61,Simbad
272.7575,-22.312778,4729,LS  4729,9.8,V,18 11 01.8,-22 18 46,8.6,-1.64,Simbad
272.785,-50.710833,19036,LSE 257,10.3,P,18 11 08.4,-50 42 39,343.07,-14.73,Simbad
272.790833,-22.215,4730,LS  4730,11.2,P,18 11 09.8,-22 12 54,8.7,-1.62,Simbad
272.805,-16.703611,4735,LS  4735,8.3,V,18 11 13.2,-16 42 13,13.54,1.02,Simbad
272.82375,-21.501667,4731,LS  4731,11.4,P,18 11 17.7,-21 30 06,9.34,-1.31,Simbad
272.830417,-19.361111,4733,LS  4733,12.2,P,18 11 19.3,-19 21 40,11.22,-0.28,Simbad
272.835417,-40.306667,14521,Hbg 1571,8.2,V,18 11 20.5,-40 18 24,352.66,-10.19,Simbad
272.83875,-15.558889,9389,LS  IV -15  11,11.2,P,18 11 21.3,-15 33 32,14.55,1.54,Simbad
272.84875,-20.953056,4734,LS  4734,12.5,P,18 11 23.7,-20 57 11,9.83,-1.06,Simbad
272.85125,-20.712222,4736,LS  4736,8.7,V,18 11 24.3,-20 42 44,10.04,-0.95,Simbad
272.852917,-22.124722,4732,LS  4732,11.4,V,18 11 24.7,-22 07 29,8.81,-1.63,Simbad
272.871667,-19.426944,4738,LS  4738,13.3,P,18 11 29.2,-19 25 37,11.18,-0.35,Simbad
272.874167,-20.285278,4737,LS  4737,11.2,V,18 11 29.8,-20 17 07,10.43,-0.76,Simbad
272.881667,-33.241667,4728,LS  4728,11.5,P,18 11 31.6,-33 14 30,359.01,-6.95,Simbad
272.89125,-15.423333,9391,LS  IV -15  12,9.9,V,18 11 33.9,-15 25 24,14.7,1.56,Simbad
272.89375,-15.691667,9392,LS  IV -15  13,9.6,V,18 11 34.5,-15 41 30,14.46,1.43,Simbad
272.90125,-21.161667,4739,LS  4739,10.2,V,18 11 36.3,-21 09 42,9.67,-1.21,Simbad
272.909583,-32.404167,14522,Hbg 1574,8.7,V,18 11 38.3,-32 24 15,359.77,-6.58,Simbad
272.928333,-19.209167,4741,LS  4741,11.6,P,18 11 42.8,-19 12 33,11.4,-0.29,Simbad
272.92875,-22.103611,4740,LS  4740,9.6,V,18 11 42.9,-22 06 13,8.86,-1.68,Simbad
272.929583,-15.5825,9393,LS  IV -15  14,9.8,P,18 11 43.1,-15 34 57,14.58,1.45,Simbad
272.929583,-15.582222,4745,LS  4745,8.8,V,18 11 43.1,-15 34 56,14.58,1.45,Simbad
272.945,-18.381111,4743,LS  4743,9.9,V,18 11 46.8,-18 22 52,12.13,0.09,Simbad
272.947917,-16.893889,4746,LS  4746,8.1,V,18 11 47.5,-16 53 38,13.43,0.81,Simbad
272.949167,-14.834167,4749,LS  4749,10.7,P,18 11 47.8,-14 50 03,15.24,1.8,Simbad
272.949167,-14.834444,9394,LS  IV -14   6,11.4,P,18 11 47.8,-14 50 04,15.24,1.79,Simbad
272.96125,-15.679444,4750,LS  4750,8.0,V,18 11 50.7,-15 40 46,14.51,1.38,Simbad
272.962083,-15.090833,9396,LS  IV -15  16,10.1,V,18 11 50.9,-15 05 27,15.02,1.66,Simbad
272.962083,-15.679722,9395,LS  IV -15  15,9.1,P,18 11 50.9,-15 40 47,14.51,1.38,Simbad
272.96625,-22.255556,4742,LS  4742,12.0,P,18 11 51.9,-22 15 20,8.74,-1.79,Simbad
272.973333,-19.055833,4748,LS  4748,8.9,V,18 11 53.6,-19 03 21,11.55,-0.25,Simbad
272.987917,-20.423611,4747,LS  4747,7.2,V,18 11 57.1,-20 25 25,10.36,-0.92,Simbad
272.99125,-14.935556,9397,LS  IV -14   7,10.6,P,18 11 57.9,-14 56 08,15.17,1.71,Simbad
272.992083,-14.934722,4753,LS  4753,9.7,V,18 11 58.1,-14 56 05,15.17,1.71,Simbad
273.01125,-15.838611,9398,LS  IV -15  17,11.2,P,18 12 02.7,-15 50 19,14.39,1.26,Simbad
273.01625,-18.726944,4752,LS  4752,9.2,V,18 12 03.9,-18 43 37,11.86,-0.13,Simbad
273.017083,-14.503611,4761,LS  4761,9.7,P,18 12 04.1,-14 30 13,15.56,1.9,Simbad
273.0175,-14.502222,9399,LS  IV -14   8,10.4,P,18 12 04.2,-14 30 08,15.56,1.9,Simbad
273.03375,-25.142778,4744,LS  4744,10.9,V,18 12 08.1,-25 08 34,6.23,-3.22,Simbad
273.035417,-17.731667,4756,LS  4756,11.6,V,18 12 08.5,-17 43 54,12.74,0.33,Simbad
273.036667,-21.325278,4751,LS  4751,11.7,V,18 12 08.8,-21 19 31,9.59,-1.4,Simbad
273.05375,-19.589722,4755,LS  4755,11.1,V,18 12 12.9,-19 35 23,11.12,-0.58,Simbad
273.054583,-13.659167,9400,LS  IV -13   5,11.5,P,18 12 13.1,-13 39 33,16.32,2.27,Simbad
273.05875,-17.376667,4763,LS  4763,9.0,V,18 12 14.1,-17 22 36,13.06,0.48,Simbad
273.06125,-19.432778,4758,LS  4758,7.2,V,18 12 14.7,-19 25 58,11.26,-0.51,Simbad
273.076667,-15.567222,9401,LS  IV -15  18,9.2,V,18 12 18.4,-15 34 02,14.66,1.34,Simbad
273.0825,-21.133333,4759,LS  4759,10.1,V,18 12 19.8,-21 08 00,9.78,-1.34,Simbad
273.087917,-21.113889,4760,LS  4760,11.7,P,18 12 21.1,-21 06 50,9.8,-1.34,Simbad
273.094167,-17.162778,4766,LS  4766,12.5,P,18 12 22.6,-17 09 46,13.27,0.55,Simbad
273.1025,-61.235278,16944,HD 165938,8.2,V,18 12 24.6,-61 14 07,333.06,-19.1,Simbad
273.1025,-10.728611,9405,LS  IV -10   3,8.4,V,18 12 24.6,-10 43 43,18.92,3.63,Simbad
273.104583,-20.079722,4764,LS  4764,11.3,V,18 12 25.1,-20 04 47,10.71,-0.86,Simbad
273.1075,-17.780556,4767,LS  4767,11.7,V,18 12 25.8,-17 46 50,12.73,0.25,Simbad
273.11,-15.376667,9402,LS  IV -15  19,11.2,P,18 12 26.4,-15 22 36,14.84,1.4,Simbad
273.114167,-15.769722,9403,LS  IV -15  20,10.2,P,18 12 27.4,-15 46 11,14.5,1.21,Simbad
273.114167,-16.381944,4768,LS  4768,7.7,V,18 12 27.4,-16 22 55,13.96,0.91,Simbad
273.117917,-15.372778,4769,LS  4769,8.1,V,18 12 28.3,-15 22 22,14.85,1.39,Simbad
273.11875,-15.373056,9404,LS  IV -15  21,8.7,P,18 12 28.5,-15 22 23,14.85,1.39,Simbad
273.122083,-39.342222,14523,Hbg 1579,7.3,V,18 12 29.3,-39 20 32,353.63,-9.94,Simbad
273.1325,-26.733889,4754,LS  4754,10.1,V,18 12 31.8,-26 44 02,4.87,-4.06,Simbad
273.1425,-15.339167,9406,LS  IV -15  22,11.0,P,18 12 34.2,-15 20 21,14.89,1.39,Simbad
273.15625,-28.236111,4757,LS  4757,7.4,V,18 12 37.5,-28 14 10,3.56,-4.79,Simbad
273.157917,-18.998056,4770,LS  4770,12.2,P,18 12 37.9,-18 59 53,11.69,-0.38,Simbad
273.160417,-26.814722,4762,LS  4762,10.7,V,18 12 38.5,-26 48 53,4.82,-4.12,Simbad
273.165833,-15.201389,9407,LS  IV -15  23,11.4,P,18 12 39.8,-15 12 05,15.02,1.44,Simbad
273.171667,-25.6425,4765,LS  4765,11.1,V,18 12 41.2,-25 38 33,5.85,-3.57,Simbad
273.213333,-18.347778,4772,LS  4772,10.6,V,18 12 51.2,-18 20 52,12.28,-0.11,Simbad
273.215,-15.550833,9408,LS  IV -15  24,11.7,P,18 12 51.6,-15 33 03,14.74,1.23,Simbad
273.23375,-15.1925,14749,HD 166803,8.2,V,18 12 56.1,-15 11 33,15.06,1.38,Simbad
273.23375,-19.745,4773,LS  4773,8.2,V,18 12 56.1,-19 44 42,11.06,-0.8,Simbad
273.24375,-14.820556,9409,LS  IV -14   9,10.8,P,18 12 58.5,-14 49 14,15.39,1.55,Simbad
273.2475,-15.290278,9410,LS  IV -15  25,9.7,V,18 12 59.4,-15 17 25,14.98,1.32,Simbad
273.255,-20.795278,4774,LS  4774,12.1,P,18 13 01.2,-20 47 43,10.15,-1.32,Simbad
273.26,-18.4525,4776,LS  4776,11.7,P,18 13 02.4,-18 27 09,12.21,-0.2,Simbad
273.268333,-18.647778,4777,LS  4777,11.8,P,18 13 04.4,-18 38 52,12.04,-0.3,Simbad
273.27,38.773611,16447,HR 6826,6.0,V,18 13 04.8,+38 46 25,65.87,23.65,Simbad
273.282083,-22.405,4775,LS  4775,10.9,V,18 13 07.7,-22 24 18,8.75,-2.11,Simbad
273.294583,-20.41,14524,Hbg 1585,9.5,V,18 13 10.7,-20 24 36,10.51,-1.17,Simbad
273.302917,-41.336111,15055,HR 6804,5.5,V,18 13 12.7,-41 20 10,351.89,-10.97,Simbad
273.306667,-18.805,4780,LS  4780,11.3,P,18 13 13.6,-18 48 18,11.92,-0.41,Simbad
273.308333,-19.036667,4779,LS  4779,10.9,P,18 13 14.0,-19 02 12,11.72,-0.52,Simbad
273.309167,-18.459722,4782,LS  4782,11.1,P,18 13 14.2,-18 27 35,12.23,-0.25,Simbad
273.31625,-64.921111,19021,LSE 234,14.4,P,18 13 15.9,-64 55 16,329.44,-20.52,Simbad
273.319167,-20.521667,4778,LS  4778,9.0,V,18 13 16.6,-20 31 18,10.42,-1.24,Simbad
273.320417,-18.030833,4783,LS  4783,12.4,P,18 13 16.9,-18 01 51,12.61,-0.05,Simbad
273.340833,-15.254167,9411,LS  IV -15  26,11.8,P,18 13 21.8,-15 15 15,15.05,1.26,Simbad
273.355,-22.716667,4781,LS  4781,8.5,V,18 13 25.2,-22 43 00,8.51,-2.32,Simbad
273.357083,-14.438333,9412,LS  IV -14  10,11.4,P,18 13 25.7,-14 26 18,15.78,1.64,Simbad
273.357917,-14.526111,9413,LS  IV -14  11,11.4,P,18 13 25.9,-14 31 34,15.7,1.6,Simbad
273.369167,-19.792778,4785,LS  4785,12.7,P,18 13 28.6,-19 47 34,11.08,-0.94,Simbad
273.38,-18.801667,4787,LS  4787,11.5,P,18 13 31.2,-18 48 06,11.96,-0.47,Simbad
273.389583,-18.314722,4789,LS  4789,12.0,V,18 13 33.5,-18 18 53,12.39,-0.24,Simbad
273.392917,-20.029444,4786,LS  4786,12.4,P,18 13 34.3,-20 01 46,10.89,-1.07,Simbad
273.394583,-33.783056,4771,LS  4771,12.1,V,18 13 34.7,-33 46 59,358.73,-7.58,Simbad
273.39625,-19.291111,4788,LS  4788,9.2,V,18 13 35.1,-19 17 28,11.54,-0.72,Simbad
273.40375,-14.665556,9414,LS  IV -14  12,10.8,P,18 13 36.9,-14 39 56,15.6,1.49,Simbad
273.4075,-14.401667,9415,LS  IV -14  13,11.5,P,18 13 37.8,-14 24 06,15.83,1.61,Simbad
273.42,-17.985833,4793,LS  4793,11.1,V,18 13 40.8,-17 59 09,12.69,-0.11,Simbad
273.420417,-12.880278,9417,LS  IV -12   5,10.7,P,18 13 40.9,-12 52 49,17.18,2.33,Simbad
273.42125,-12.880556,4798,LS  4798,10.4,V,18 13 41.1,-12 52 50,17.18,2.33,Simbad
273.4275,-14.375278,9416,LS  IV -14  14,12.0,P,18 13 42.6,-14 22 31,15.87,1.61,Simbad
273.434583,5.465833,9422,LS  IV +05   2,12.4,V,18 13 44.3,+05 27 57,33.54,10.87,Simbad
273.435,-21.058611,4790,LS  4790,10.8,P,18 13 44.4,-21 03 31,10.0,-1.6,Simbad
273.436667,-17.783333,4795,LS  4795,10.9,P,18 13 44.8,-17 47 00,12.87,-0.04,Simbad
273.439583,-18.811944,19760,HD 166934C,10.2,P,18 13 45.5,-18 48 43,11.98,-0.52,Simbad
273.44,-21.058611,4791,LS  4791,3.9,V,18 13 45.6,-21 03 31,10.0,-1.6,Simbad
273.442917,-18.81,19765,HD 166934,8.6,V,18 13 46.3,-18 48 36,11.98,-0.53,Simbad
273.445,-18.810833,19759,HD 166934B,9.7,P,18 13 46.8,-18 48 39,11.98,-0.53,Simbad
273.44625,-20.7475,4792,LS  4792,11.6,V,18 13 47.1,-20 44 51,10.28,-1.46,Simbad
273.454167,-20.769444,4794,LS  4794,12.0,V,18 13 49.0,-20 46 10,10.26,-1.47,Simbad
273.455,-15.808889,4799,LS  4799,9.5,V,18 13 49.2,-15 48 32,14.62,0.9,Simbad
273.455,-15.808889,9418,LS  IV -15  27,9.8,P,18 13 49.2,-15 48 32,14.62,0.9,Simbad
273.464167,-18.988611,4797,LS  4797,8.7,V,18 13 51.4,-18 59 19,11.83,-0.63,Simbad
273.494167,-30.491944,4784,LS  4784,11.6,V,18 13 58.6,-30 29 31,1.7,-6.12,Simbad
273.50125,-15.528333,9419,LS  IV -15  28,10.8,P,18 14 00.3,-15 31 42,14.89,0.99,Simbad
273.502083,-18.764444,4802,LS  4802,10.4,V,18 14 00.5,-18 45 52,12.05,-0.55,Simbad
273.505833,-19.017222,4804,LS  4804,9.9,V,18 14 01.4,-19 01 02,11.83,-0.68,Simbad
